word_id     word                                                                                                 word_count
199         aasman                                                                                               1
200         aaspirations                                                                                         1
201         aasra                                                                                                1
202         aastar                                                                                               4
203         aastha                                                                                               1
204         aastra                                                                                               2
205         aastro                                                                                               1
206         aasua                                                                                                1
207         aate                                                                                                 1
208         aatech                                                                                               2
209         aatse                                                                                                1
210         aauburn                                                                                              1
211         aaunion                                                                                              1
212         aauuknuk                                                                                             1
213         aavion                                                                                               1
214         aavs                                                                                                 1
215         aaw                                                                                                  1
216         aawsum                                                                                               1
217         aaxel                                                                                                12
218         aaxent                                                                                               3
219         aaxes                                                                                                1
220         aaxie                                                                                                1
221         aaxis                                                                                                1
222         aay                                                                                                  1
223         aaymed                                                                                               1
224         aayush                                                                                               1
225         aazka                                                                                                1
226         aazy                                                                                                 1
227         ab                                                                                                   199
228         aba                                                                                                  20
229         ababa                                                                                                3
230         abaca                                                                                                4
231         abacado                                                                                              1
232         abacal                                                                                               1
233         abacam                                                                                               1
234         abacan                                                                                               1
235         aback                                                                                                2
236         abaco                                                                                                7
237         abacom                                                                                               1
238         abacorp                                                                                              1
239         abacus                                                                                               73
240         abada                                                                                                1
241         abadarr                                                                                              1
242         abaddon                                                                                              1
243         abadir                                                                                               3
244         abado                                                                                                1
245         abah                                                                                                 2
246         abakhan                                                                                              9
247         abakus                                                                                               1
248         abal                                                                                                 3
249         abalene                                                                                              1
250         aball                                                                                                1
251         aballdo                                                                                              1
252         abalon                                                                                               8
253         abalone                                                                                              3
254         abalore                                                                                              1
255         aban                                                                                                 10
256         abana                                                                                                3
257         abandoned                                                                                            4
258         abandonment                                                                                          2
259         abandonments                                                                                         1
260         abandonrite                                                                                          1
261         abanel                                                                                               1
262         abanoub                                                                                              2
263         abantu                                                                                               7
264         abar                                                                                                 1
265         abara                                                                                                2
266         abarent                                                                                              1
267         abaris                                                                                               1
268         abarquez                                                                                             1
269         abars                                                                                                1
270         abart                                                                                                2
271         abarth                                                                                               1
272         abas                                                                                                 4
273         abasa                                                                                                3
274         abasand                                                                                              5
275         abase                                                                                                1
276         abaskharoun                                                                                          1
277         abate                                                                                                4
278         abatement                                                                                            24
279         abatements                                                                                           1
280         abatis                                                                                               2
281         abato                                                                                                1
282         abaton                                                                                               1
283         abattis                                                                                              2
284         abattoir                                                                                             27
285         abav                                                                                                 1
286         abawajy                                                                                              1
287         abawn                                                                                                2
288         abayneh                                                                                              2
289         abaza                                                                                                1
290         abb                                                                                                  37
291         abba                                                                                                 38
292         abbadi                                                                                               1
293         abbar                                                                                                2
294         abbarch                                                                                              2
295         abbaren                                                                                              1
296         abbas                                                                                                6
297         abbasco                                                                                              1
298         abbasi                                                                                               2
299         abbass                                                                                               11
300         abbastar                                                                                             1
301         abbaszadeh                                                                                           1
302         abbatoir                                                                                             1
303         abbattoir                                                                                            1
304         abbattoirs                                                                                           1
305         abbc                                                                                                 1
306         abbco                                                                                                1
307         abbe                                                                                                 1
308         abbeille                                                                                             1
309         abbem                                                                                                1
310         abben                                                                                                1
311         abbey                                                                                                146
312         abbeydale                                                                                            8
313         abbeyfield                                                                                           28
314         abbeylawn                                                                                            1
315         abbeywood                                                                                            2
316         abbeywrap                                                                                            1
317         abbi                                                                                                 2
318         abbie                                                                                                2
319         abbies                                                                                               2
320         abbigail                                                                                             1
321         abbinett                                                                                             1
322         abbing                                                                                               1
323         abbington                                                                                            2
324         abbink                                                                                               1
325         abbiocco                                                                                             1
326         abbl                                                                                                 2
327         abbot                                                                                                4
328         abbots                                                                                               1
329         abbotsfield                                                                                          6
330         abbotsford                                                                                           312
331         abbott                                                                                               87
332         abbotts                                                                                              3
333         abbottsfield                                                                                         5
334         abboud                                                                                               3
335         abbozzo                                                                                              1
336         abbruzzino                                                                                           1
337         abbsry                                                                                               5
338         abby                                                                                                 79
339         abbyefield                                                                                           1
340         abbygabby                                                                                            1
341         abbylites                                                                                            1
342         abbyroad                                                                                             1
343         abbys                                                                                                1
344         abbyshot                                                                                             1
345         abbyview                                                                                             2
346         abc                                                                                                  489
347         abca                                                                                                 1
348         abcab                                                                                                2
349         abcad                                                                                                1
350         abcal                                                                                                1
351         abcan                                                                                                8
352         abcarpentry                                                                                          1
353         abcb                                                                                                 1
354         abcco                                                                                                2
355         abcd                                                                                                 1
356         abcdem                                                                                               1
357         abcellera                                                                                            1
358         abcn                                                                                                 1
359         abco                                                                                                 42
360         abcoat                                                                                               1
361         abcole                                                                                               1
362         abcom                                                                                                1
363         abcomfort                                                                                            1
364         abcon                                                                                                2
365         abcor                                                                                                1
366         abcorp                                                                                               2
367         abcott                                                                                               3
368         abcourt                                                                                              1
369         abcpo                                                                                                1
370         abcrc                                                                                                1
371         abcron                                                                                               1
372         abcs                                                                                                 1
373         abd                                                                                                  10
374         abda                                                                                                 1
375         abdalhakim                                                                                           1
376         abdalian                                                                                             1
377         abdalkhani                                                                                           1
378         abdalla                                                                                              3
379         abdallah                                                                                             3
380         abdatis                                                                                              1
381         abdeen                                                                                               2
382         abdel                                                                                                3
383         abdela                                                                                               1
384         abdelgader                                                                                           2
385         abdelgalel                                                                                           2
386         abdelrahman                                                                                          1
